"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Chocolate_Type"
"A. Morin","Agua Grande",1876,2016,63,"France",3.75,"Sao Tome","Deserowa"
"A. Morin","Kpime",1676,2015,70,"France",2.75,"Togo","Deserowa"
"A. Morin","Atsane",1676,2015,70,"France",3,"Togo","Deserowa"
"A. Morin","Akata",1680,2015,70,"France",3.5,"Togo","Deserowa"
"A. Morin","Quilla",1704,2015,70,"France",3.5,"Peru","Deserowa"
"A. Morin","Carenero",1315,2014,70,"France",2.75,"Venezuela","Deserowa"
"A. Morin","Cuba",1315,2014,70,"France",3.5,"Cuba","Deserowa"
"A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Venezuela","Deserowa"
"A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"Venezuela","Deserowa"
"A. Morin","Pablino",1319,2014,70,"France",4,"Peru","Deserowa"
"A. Morin","Panama",1011,2013,70,"France",2.75,"Panama","Deserowa"
"A. Morin","Madagascar",1011,2013,70,"France",3,"Madagascar","Deserowa"
"A. Morin","Brazil",1011,2013,70,"France",3.25,"Brazil","Deserowa"
"A. Morin","Equateur",1011,2013,70,"France",3.75,"Ecuador","Deserowa"
"A. Morin","Colombie",1015,2013,70,"France",2.75,"Colombia","Deserowa"
"A. Morin","Birmanie",1015,2013,70,"France",3,"Burma","Deserowa"
"A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,"Papua New Guinea","Deserowa"
"A. Morin","Chuao",1015,2013,70,"France",4,"Venezuela","Deserowa"
"A. Morin","Piura",1019,2013,70,"France",3.25,"Peru","Deserowa"
"A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,"Peru","Deserowa"
"A. Morin","Chanchamayo Province",1019,2013,63,"France",4,"Peru","Deserowa"
"A. Morin","Bolivia",797,2012,70,"France",3.5,"Bolivia","Deserowa"
"A. Morin","Peru",797,2012,63,"France",3.75,"Peru","Deserowa"
"Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,"Peru","Deserowa"
"Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"Peru","Deserowa"
"Adi","Vanua Levu",705,2011,60,"Fiji",2.75,"Fiji","Deserowa"
"Adi","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Fiji","Gorzka"
"Adi","Vanua Levu",705,2011,88,"Fiji",3.5,"Fiji","Gorzka"
"Adi","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Fiji","Gorzka"
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",2.75,"Ecuador","Deserowa"
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Ecuador","Deserowa"
"Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Mexico","Deserowa"
"Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"Indonesia","Gorzka"
"Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",2.75,"Madagascar","Gorzka"
"Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",2.75,"Brazil","Gorzka"
