"mpg","cylinders","displacement","horsepower","weight","acceleration","model","origin","car"
33,4,91,32,1795,17.4,76,3,"honda civic"
20,6,225,2,3651,17.7,76,1,"dodge aspen se"
18,6,250,50,3574,21,76,1,"ford granada ghia"
18.5,6,250,7,3645,16.2,76,1,"pontiac ventura sj"
17.5,6,258,62,3193,17.8,76,1,"amc pacer d/l"
29.5,4,97,44,1825,12.2,76,2,"volkswagen rabbit"
32,4,85,43,1990,17,76,3,"datsun b-210"
28,4,97,47,2155,16.4,76,3,"toyota corolla"
26.5,4,140,45,2565,13.6,76,1,"ford pinto"
20,4,130,3,3150,15.7,76,2,"volvo 245"
13,8,318,24,3940,13.2,76,1,"plymouth volare premier v8"
19,4,120,58,3270,21.9,76,2,"peugeot 504"
19,6,156,6,2930,15.5,76,3,"toyota mark ii"
16.5,6,168,11,3820,16.7,76,2,"mercedes-benz 280s"
16.5,8,350,28,4380,12.1,76,1,"cadillac seville"
13,8,350,22,4055,12,76,1,"chevy c10"
13,8,302,14,3870,15,76,1,"ford f108"
13,8,318,24,3755,14,76,1,"dodge d100"
31.5,4,98,41,2045,18.5,77,3,"honda accord cvcc"
30,4,111,52,2155,14.8,77,1,"buick opel isuzu deluxe"
36,4,79,33,1825,18.6,77,2,"renault 5 gtl"
25.5,4,122,63,2300,15.5,77,1,"plymouth arrow gs"
33.5,4,85,43,1945,16.8,77,3,"datsun f-10 hatchback"
17.5,8,305,22,3880,12.5,77,1,"chevrolet caprice classic"
17,8,260,7,4060,19,77,1,"oldsmobile cutlass supreme"
15.5,8,318,22,4140,13.7,77,1,"dodge monaco brougham"
15,8,302,14,4295,14.9,77,1,"mercury cougar brougham"
17.5,6,250,7,3520,16.4,77,1,"chevrolet concours"
20.5,6,231,5,3425,16.9,77,1,"buick skylark"
19,6,225,2,3630,17.7,77,1,"plymouth volare custom"
18.5,6,250,65,3525,19,77,1,"ford granada"
16,8,400,28,4220,11.1,77,1,"pontiac grand prix lj"
